Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,flow_key,predicted_label
28.0,17,64.0,19.25955020446727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3480,60,60,60.0,0.0,3480,0.03109419345855713,58,0.0,"('192.168.137.150', '192.168.137.206')",Mirai
52.0,6,61.5,8.222590472285198,0.0,0.0,0.0,0.375,1.0,0.0,0.0,24,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2516,66,246,104.83333333333333,54.08501091612262,2516,0.015877336263656616,24,2925.1884057971033,"('192.168.137.2', '35.185.101.66')",DDoS
52.26315789473684,6,159.03947368421052,24.789718950608542,0.0,0.013157894736842105,0.0,0.13157894736842105,1.0,0.0,0.0,76,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,48199,66,1514,634.1973684210526,687.6414767350175,48199,0.007020881301478336,76,472850.8005263156,"('192.168.137.175', '52.51.193.92')",DDoS
54.10526315789474,6,55.78947368421053,6.1980375470286715,0.21052631578947367,0.2631578947368421,0.0,0.15789473684210525,0.8947368421052632,0.0,0.0,17,5,4,0,0.47368421052631576,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1927,66,441,101.42105263157895,100.04349931097956,1927,0.01710157645376105,19,10008.701754385966,"('157.249.81.141', '192.168.137.41')",DDoS
28.0,17,106.66666666666667,1.6812484108330181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,484,70,86,80.66666666666667,8.262364471909157,484,0.018247207005818684,6,68.26666666666668,"('192.168.137.1', '192.168.137.41')",Mirai
52.0,6,131.2,115.12439340374607,0.0,0.0,0.0,0.02,1.0,0.0,0.0,100,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,93480,66,1514,934.8,712.945915752295,93480,0.0051519680023193355,100,508291.8787878786,"('192.168.137.175', '52.51.193.92')",DDoS
52.0,6,119.44,106.49858342266818,0.0,0.0,0.0,0.02,1.0,0.0,0.0,100,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,101697,66,1514,1016.97,687.4951967508979,101697,0.006476001739501953,100,472649.64555555576,"('192.168.137.175', '52.51.193.92')",DDoS
28.0,17,64.0,14.455854536594085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2580,60,60,60.0,0.0,2580,0.011858540912007177,43,0.0,"('192.168.137.150', '192.168.137.206')",Mirai
52.0,6,142.96,123.26098960762411,0.0,0.0,0.0,0.02,1.0,0.0,0.0,100,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,82465,66,1514,824.65,723.3297496769202,82465,0.005321536064147949,100,523205.926767676,"('192.168.137.175', '52.51.193.92')",DDoS
52.0,6,62.11764705882353,5.764844259100854,0.0,0.0,0.0,0.5294117647058824,1.0,0.0,0.0,17,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2054,66,246,120.82352941176471,57.21476567954033,2054,0.014009405584896313,17,3273.5294117647054,"('192.168.137.2', '35.185.101.66')",DDoS
59.84,6,64.0,987.5387016949871,0.0,0.98,0.0,0.01,0.02,0.0,0.0,2,98,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7795,66,477,77.95,40.316018071373485,7795,0.001043093204498291,100,1625.3813131313132,"('192.168.137.139', '192.168.137.178')",DoS
58.8,6,64.0,525.9546186979993,0.0,0.85,0.0,0.04,0.22,0.0,0.0,22,85,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19666,66,1514,196.66,398.11736810628975,19666,0.001856527328491211,100,158497.43878787901,"('192.168.137.139', '192.168.137.178')",DoS
58.32,6,64.0,366.84083200537367,0.0,0.79,0.0,0.16,0.21,0.0,0.0,21,79,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27644,74,1514,276.44,447.20325797046,27644,0.0020502805709838867,100,199990.7539393938,"('192.168.137.139', '192.168.137.178')",DoS
53.26315789473684,6,57.36842105263158,4.946049662842589,0.21052631578947367,0.15789473684210525,0.0,0.21052631578947367,0.8947368421052632,0.0,0.0,17,3,4,0,0.47368421052631576,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2107,66,441,110.89473684210526,106.4549433833875,2107,0.007759608720478259,19,11332.654970760237,"('157.249.81.141', '192.168.137.41')",DDoS
60.0,6,64.0,541.3234489380815,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7400,74,74,74.0,0.0,7400,0.0018473243713378906,100,0.0,"('192.168.137.139', '192.168.137.90')",Mirai
60.0,6,64.0,623.809842512073,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7400,74,74,74.0,0.0,7400,0.0016030526161193847,100,0.0,"('192.168.137.139', '192.168.137.238')",Mirai
57.36,6,64.0,133.44821222900268,0.0,0.67,0.0,0.17,0.35,0.0,0.0,35,67,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52812,74,1514,528.12,666.5385222297065,52812,0.002128300666809082,100,444273.60161616094,"('192.168.137.139', '192.168.137.178')",DoS
