Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,flow_key,predicted_label
28.0,17,64.0,18.26607659699002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3300,60,60,60.0,0.0,3300,0.07192169536243785,55,0.0,"('192.168.137.150', '192.168.137.206')",Recon
52.0,6,61.5,7.9103819066429475,0.0,0.0,0.0,0.375,1.0,0.0,0.0,24,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2516,66,246,104.83333333333333,54.08501091612262,2516,0.0199605127175649,24,2925.1884057971033,"('192.168.137.2', '35.185.101.66')",DDoS
52.294117647058826,6,152.9264705882353,22.568402048505824,0.0,0.014705882352941176,0.0,0.14705882352941177,1.0,0.0,0.0,68,1,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,46223,66,1514,679.75,694.2054058579406,46223,0.00863266341826495,68,481921.14552238805,"('192.168.137.175', '52.51.193.92')",Spoofing
54.10526315789474,6,55.78947368421053,6.058720611317292,0.21052631578947367,0.2631578947368421,0.0,0.15789473684210525,0.8947368421052632,0.0,0.0,17,5,4,0,0.47368421052631576,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1927,66,441,101.42105263157895,100.04349931097956,1927,0.017962317717702764,19,10008.701754385966,"('157.249.81.141', '192.168.137.41')",DoS
28.0,17,106.66666666666667,1.6376408852146662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,484,70,86,80.66666666666667,8.262364471909157,484,0.01803918679555257,6,68.26666666666668,"('192.168.137.1', '192.168.137.41')",DDoS
52.0,6,136.24,104.08632036608729,0.0,0.0,0.0,0.02,1.0,0.0,0.0,100,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89136,66,1514,891.36,720.4811456326402,89136,0.005044257640838623,100,519093.0812121217,"('192.168.137.175', '52.51.193.92')",DDoS
52.0,6,121.12,97.19181432657373,0.0,0.0,0.0,0.02,1.0,0.0,0.0,100,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100249,66,1514,1002.49,692.1541034547814,100249,0.007057204246520996,100,479077.3029292922,"('192.168.137.175', '52.51.193.92')",DDoS
28.0,17,64.0,13.998607086565464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2580,60,60,60.0,0.0,2580,0.011628988177277321,43,0.0,"('192.168.137.150', '192.168.137.206')",DDoS
52.0,6,62.13333333333333,5.252747285776331,0.0,0.0,0.0,0.5333333333333333,1.0,0.0,0.0,15,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1832,66,246,122.13333333333334,58.619678152192776,1832,0.013225841522216796,15,3436.2666666666673,"('192.168.137.2', '35.185.101.66')",DDoS
52.0,6,141.28,119.50387547424842,0.0,0.0,0.0,0.01,1.0,0.0,0.0,100,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,84792,66,1514,847.92,725.3151691130236,84792,0.005715477466583252,100,526082.0945454539,"('192.168.137.175', '52.51.193.92')",DDoS
